1
1
1
1
1
1
2
1
2
3
1
3
1
1
2
2
2
2
2
3
1
3
2
2
2
2
3
2
3
2
3
3
3
3
3
3
2
2
2
2
2
2
2
2
2
2
2
1
2
2
2
2
3
3
3
2
1
3
2
2
3
2
4
1
3
1
1
2
3
3
3
5
5
5
5
5
5
5
5
5
5
5
5
5
5
3
1
3
3
3
2
1
2
2
4
1
3
4
4
4
1
4
4
1
4
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
4
3
3
3
2
2
2
2
2
1
1
1
1
1
1
1
1
1
2
2
2
2
2
2
2
3
1
1
3
3
3
1
3
2
2
2
2
2
1
1
3
2
3
1
3
1
1
1
1
1
3
2
3
2
2
2
2
3
3
3
3
3
3
3
3
1
1
3
3
3
3
3
3
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
3
3
3
3
3
3
3
3
3
3
2
3
5
5
5
1
3
5
5
5
4
4
4
4
4
4
4
1
1
1
1
1
4
1
1
4
3
3
3
2
2
2
2
2
3
2
1
2
2
3
3
2
2
2
2
2
2
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
3
3
3
2
2
2
2
2
2
5
5
5
5
2
2
2
2
2
1
1
3
2
1
1
3
2
2
1
1
1
1
1
2
2
2
2
2
3
3
3
3
3
3
3
3
2
2
2
2
2
2
1
3
3
3
1
1
4
4
4
4
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
3
2
1
1
1
1
1
1
1
1
1
1
3
3
3
3
3
3
3
3
3
2
2
2
2
2
3
2
2
1
2
2
1
3
3
2
2
2
3
1
1
1
2
2
2
2
2
2
5
5
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
2
2
2
2
2
2
2
2
2
2
2
3
3
3
1
3
3
3
3
3
3
3
3
3
3
2
2
2
2
2
2
2
2
2
2
3
3
3
3
2
3
3
3
3
3
3
3
5
5
3
5
1
1
5
5
5
3
3
3
3
3
3
3
3
3
3
3
3
1
1
1
1
1
1
1
3
1
1
1
1
1
3
3
3
5
3
3
3
3
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
3
3
2
2
2
1
1
1
5
5
5
5
1
1
1
1
2
2
2
2
2
5
5
5
2
2
2
2
2
2
2
3
2
3
2
3
3
2
2
2
2
3
3
1
1
1
3
5
2
2
2
1
3
1
1
1
1
1
3
3
3
3
3
3
3
3
1
3
3
1
5
2
3
3
2
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
1
1
1
1
1
1
3
1
1
6
6
1
3
1
2
1
1
1
1
3
3
3
3
3
3
2
1
3
3
3
3
2
2
2
1
1
1
1
1
1
1
2
1
5
3
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
2
2
1
1
1
1
1
1
1
1
1
3
3
3
3
3
3
1
3
3
3
3
3
3
3
3
3
3
3
3
3
3
